lr-Adam,step,train_base,val_base
,148,7.420626640319824,
7.8125e-08,1466607,,
,149,,7.554841041564941
,149,7.418216705322266,
7.8125e-08,1476450,,
,150,,7.553499698638916
,150,7.418517589569092,
7.8125e-08,1486293,,
,151,,7.554063320159912
,151,7.418114185333252,
7.8125e-08,1496136,,
,152,,7.5549421310424805
,152,7.419128894805908,
7.8125e-08,1505979,,
,153,,7.557673931121826
,153,7.416519641876221,
7.8125e-08,1515822,,
,154,,7.553221225738525
,154,7.416792869567871,
7.8125e-08,1525665,,
,155,,7.554267406463623
,155,7.416131019592285,
7.8125e-08,1535508,,
,156,,7.557704925537109
,156,7.418532848358154,
7.8125e-08,1545351,,
,157,,7.552367210388184
,157,7.416533470153809,
7.8125e-08,1555194,,
,158,,7.55259895324707
,158,7.417201519012451,
7.8125e-08,1565037,,
,159,,7.553301811218262
,159,7.415800094604492,
3.90625e-08,1574880,,
,160,,7.552091598510742
,160,7.417212963104248,
3.90625e-08,1584723,,
,161,,7.5509934425354
,161,7.4163031578063965,
3.90625e-08,1594566,,
,162,,7.55079460144043
,162,7.415963649749756,
3.90625e-08,1604409,,
,163,,7.551835536956787
,163,7.4152679443359375,
3.90625e-08,1614252,,
,164,,7.5536980628967285
,164,7.41562032699585,
3.90625e-08,1624095,,
,165,,7.551614761352539
,165,7.415200710296631,
3.90625e-08,1633938,,
,166,,7.549137592315674
,166,7.414896488189697,
3.90625e-08,1643781,,
,167,,7.546761989593506
,167,7.414763927459717,
3.90625e-08,1653624,,
,168,,7.553979873657227
,168,7.415835857391357,
3.90625e-08,1663467,,
,169,,7.550698757171631
,169,7.413613319396973,
3.90625e-08,1673310,,
,170,,7.551251411437988
,170,7.414432525634766,
3.90625e-08,1683153,,
,171,,7.553570747375488
,171,7.414553642272949,
3.90625e-08,1692996,,
,172,,7.549785614013672
,172,7.4137749671936035,
3.90625e-08,1702839,,
,173,,7.548471927642822
,173,7.412557601928711,
3.90625e-08,1712682,,
,174,,7.552746295928955
,174,7.4135332107543945,
3.90625e-08,1722525,,
,175,,7.548886775970459
,175,7.412489414215088,
3.90625e-08,1732368,,
,176,,7.553167819976807
,176,7.413538455963135,
3.90625e-08,1742211,,
,177,,7.549187183380127
,177,7.412761688232422,
3.90625e-08,1752054,,
,178,,7.549895763397217
,178,7.415062427520752,
3.90625e-08,1761897,,
,179,,7.545822620391846
,179,7.412313938140869,
1.953125e-08,1771740,,
,180,,7.549520492553711
,180,7.413449764251709,
1.953125e-08,1781583,,
,181,,7.549729347229004
,181,7.413547992706299,
1.953125e-08,1791426,,
,182,,7.547352313995361
,182,7.41349983215332,
1.953125e-08,1801269,,
,183,,7.547915458679199
,183,7.4129862785339355,
1.953125e-08,1811112,,
,184,,7.548794746398926
,184,7.4137468338012695,
1.953125e-08,1820955,,
,185,,7.548293113708496
,185,7.41250467300415,
1.953125e-08,1830798,,
,186,,7.5471062660217285
,186,7.414298057556152,
1.953125e-08,1840641,,
,187,,7.547794818878174
,187,7.410436630249023,
1.953125e-08,1850484,,
,188,,7.548975944519043
,188,7.412455081939697,
1.953125e-08,1860327,,
,189,,7.5452880859375
,189,7.411199569702148,
1.953125e-08,1870170,,
,190,,7.548054218292236
,190,7.41103458404541,
1.953125e-08,1880013,,
,191,,7.545438766479492
,191,7.412931442260742,
1.953125e-08,1889856,,
,192,,7.547708988189697
,192,7.410980701446533,
1.953125e-08,1899699,,
,193,,7.550861358642578
,193,7.413051128387451,
1.953125e-08,1909542,,
